priority,score,table_name,alias_table_name,owner,task_owner,table_rows,data_length,column_count,table_model,primary_key,partition_key,partition_count,tablet_count,task_count,latest_task_code,latest_task_name,latest_task_instance_time,latest_task_influence_num,downstream_count,sql_query_count,sql_last_time,resource_ref_count,collection_count,report_item_count,project_count,persist_object_count,persist_table_refs,unused_days,data_warehouse_layering,asset_class,suggested_rules,evidence
P0,60.0,ods_api_jstqm_archive_sale_order_info_f,ODS_销售订单归档信息表(聚水潭奇门API),管理员,管理员,32511821.0,47103107200.0,81,PRIMARY_KEYS,`__id`,,1,16,1,RCAvJGRCIk,ods_api_jstqm_archive_sale_order_info_f【EtlDevelop任务】,2026-06-29 10:01:32,0.0,5.0,0,,1,10,0,10,1,0,0.0,ods,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 send_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性,被 10 个分析项目使用；有关联产出任务 1 个；任务下游数量 5；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 32511821；存储统计超过 10GB；有分区 1 个；字段数 81
P0,58.98,ud_3418004512502203_n11xsckxxb,1.1销售出库信息表,包彦,陶林强,24627385.0,4108249383.0,41,PRIMARY_KEYS,`__id`,,1,4,1,cOqyEait67,销售出库信息表-1.1销售出库信息表【刷新】,2026-07-09 02:04:05,24627385.0,5.0,98,2026-07-09 02:04:04,1,5,0,5,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 pay_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；店铺标识关键字段空值,被 5 个分析项目使用；有关联产出任务 1 个；任务下游数量 5；SQL 审计命中 98 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 24627385；存储统计超过 1GB；有分区 1 个
P0,58.52,ods_api_jstqm_sale_order_info_f_ss,ODS_销售订单信息表_实时(聚水潭奇门API),管理员,管理员,23312740.0,37549534527.0,81,PRIMARY_KEYS,`__id`,,1,16,1,JXgbhg16Db,ods_api_jstqm_sale_order_info_f_ss【EtlDevelop任务】,2026-07-09 04:11:28,23312740.0,1.0,7,2026-07-09 03:49:21,1,4,0,4,0,0,0.0,ods,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 send_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性,被 4 个分析项目使用；有关联产出任务 1 个；任务下游数量 1；SQL 审计命中 7 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 23312740；存储统计超过 10GB；有分区 1 个；字段数 81
P0,58.31,ud_3418004512502203_n22pddsjqx,2.2拼多多数据清洗,包彦,陶林强,6076091.0,1581198488.0,76,PRIMARY_KEYS,`__id`,,1,4,1,hquOvAJNnB,2.1拼多多数据清洗（人工扣点、退货、助攻、运费、采购、基础扣点）-2.2拼多多数据清洗【刷新】,2026-07-09 13:44:09,6076091.0,6.0,182,2026-07-09 13:44:08,1,16,0,3,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 pay_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；商品编码/名称关键字段空值；店铺标识关键字段空值,被 3 个分析项目使用；有关联产出任务 1 个；任务下游数量 6；SQL 审计命中 182 次；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 6076091；存储统计超过 1GB；有分区 1 个；字段数 76
P0,58.0,ods_api_jstbz_sale_order_info_du,ODS_销售订单信息表(聚水潭标准API),管理员,管理员,11440494.0,12851888773.0,82,PRIMARY_KEYS,"`dt`, `__id`",`dt`,710,1420,2,xpczkU3QdF,ODS_销售订单信息表(聚水潭标准API)【连接器】,2026-07-09 02:36:53,94071.0,1.0,0,,1,5,0,5,0,0,0.0,ods,共享数据,"表级行数非零；表级行数 7/30 天波动；最新分区 `dt` 非空/及时；主键 `dt`, `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性",被 5 个分析项目使用；有关联产出任务 2 个；任务下游数量 1；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 11440494；存储统计超过 10GB；分区数 710；字段数 82
P0,56.0,ods_api_dd_sale_order_list_info_du,ODS_销售订单列表信息表(抖店API),包彦,陶林强,3226101.0,29253826263.0,93,PRIMARY_KEYS,"`dt`, `__id`",`dt`,321,642,1,mnMTqusbga,ODS_销售订单列表信息表(抖店API)【连接器】,2026-07-09 05:00:01,47858.0,6.0,0,,1,10,0,10,2,0,0.0,ods,共享数据,"表级行数非零；表级行数 7/30 天波动；最新分区 `dt` 非空/及时；主键 `dt`, `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性",被 10 个分析项目使用；有关联产出任务 1 个；任务下游数量 6；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 3226101；存储统计超过 10GB；有分区 321 个；字段数 93
P0,55.75,ud_3418004512502203_dyyspfl,dwd_用于商品分类,包彦,陶林强,24816626.0,4924188329.0,80,PRIMARY_KEYS,`__id`,,1,4,1,xN40BdkiZH,2.dwd_淘宝数据清洗-dwd_用于商品分类【刷新】,2026-07-09 13:48:38,24816626.0,1.0,140,2026-07-09 13:48:37,1,1,0,1,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；主键 `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值,被 1 个分析项目使用；有关联产出任务 1 个；任务下游数量 1；SQL 审计命中 140 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 24816626；存储统计超过 1GB；有分区 1 个；字段数 80
P1,54.98,ud_3418004512502203_n12addshlsjq,1.2按订单售后率数据清洗综合表,包彦,陶林强,21714612.0,1956747280.0,22,PRIMARY_KEYS,`__id`,,1,4,1,fQuY6dAXb6,1.2按订单量售后数据清洗-1.2按订单售后率数据清洗综合表【刷新】,2026-07-09 06:51:40,21714612.0,6.0,98,2026-07-09 06:51:39,1,15,0,0,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 pay_date 及时；主键 `__id` 重复检查；退款/售后金额与数量范围；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值,有关联产出任务 1 个；任务下游数量 6；SQL 审计命中 98 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 21714612；存储统计超过 1GB；有分区 1 个
P1,54.52,ods_api_jstbz_sale_outstock_info_f,ODS_销售出库信息表(聚水潭标准API),管理员,管理员,17277191.0,15843774785.0,59,PRIMARY_KEYS,`__id`,,1,16,1,dW841bdxmL,ods_api_jstbz_sale_outstock_info_f【EtlDevelop任务】,2026-07-09 03:10:27,17277191.0,1.0,7,2026-07-09 03:05:23,1,0,0,0,0,0,0.0,ods,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 modified 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；店铺标识关键字段空值；原始 API 记录落地完整性,有关联产出任务 1 个；任务下游数量 1；SQL 审计命中 7 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 17277191；存储统计超过 10GB；有分区 1 个；字段数 59
P1,54.27,ud_3418004512502203_n21tmxjyfjs,2.1天猫小件运费计算,包彦,陶林强,18620726.0,848695457.0,14,PRIMARY_KEYS,`__id`,,1,4,1,g1MpBP3sJd,2.dwd_淘宝数据清洗-2.1天猫小件运费计算【刷新】,2026-07-09 07:10:37,18620726.0,10.0,112,2026-07-09 07:10:37,1,1,0,1,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；主键 `__id` 重复检查,被 1 个分析项目使用；有关联产出任务 1 个；任务下游数量 10；SQL 审计命中 112 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 18620726；有分区 1 个
P1,53.98,ud_1_sthtkxxb,std_退货退款信息表,管理员,管理员,6823560.0,3284756995.0,41,PRIMARY_KEYS,`__id`,,1,4,1,Wy8GHrifZz,1.1std_淘宝销售和售后数据清洗-std_退货退款信息表【刷新】,2026-07-09 02:22:13,6823560.0,5.0,98,2026-07-09 02:22:12,1,5,0,5,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 as_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；退款/售后金额与数量范围；商品编码/名称关键字段空值；店铺标识关键字段空值,被 5 个分析项目使用；有关联产出任务 1 个；任务下游数量 5；SQL 审计命中 98 次；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 6823560；存储统计超过 1GB；有分区 1 个
P1,52.52,ods_api_jstqm_refund_info_f,ODS_退货退款信息表(聚水潭奇门API),管理员,管理员,3373440.0,2245574812.0,54,PRIMARY_KEYS,`__id`,,1,16,1,mT4yyoaTaE,ods_api_jstqm_refund_info_f【EtlDevelop任务】,2026-07-09 02:13:49,3373440.0,3.0,7,2026-07-09 02:12:52,1,7,0,7,0,0,0.0,ods,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 as_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；退款/售后金额与数量范围；店铺标识关键字段空值；原始 API 记录落地完整性,被 7 个分析项目使用；有关联产出任务 1 个；任务下游数量 3；SQL 审计命中 7 次；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 3373440；存储统计超过 1GB；有分区 1 个；字段数 54
P1,52.31,ud_3418004512502203_ykddhd,1.5有快递单号（快递运费计算）,包彦,陶林强,5343618.0,1449035272.0,77,PRIMARY_KEYS,`__id`,,1,4,1,emuMgVsUcl,2.1拼多多数据清洗（人工扣点、退货、助攻、运费、采购、基础扣点）-1.5有快递单号（快递运费计算）【刷新】,2026-07-09 13:33:29,5343618.0,2.0,182,2026-07-09 13:33:28,1,1,0,1,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 pay_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；商品编码/名称关键字段空值；店铺标识关键字段空值,被 1 个分析项目使用；有关联产出任务 1 个；任务下游数量 2；SQL 审计命中 182 次；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 5343618；存储统计超过 1GB；有分区 1 个；字段数 77
P1,51.55,dws_douyin_spu_sales_detail,DWS_抖音_SPU销售明细,包彦,陶林强,94013.0,20456086.0,124,PRIMARY_KEYS,`__id`,,1,4,1,Ghu44PRchu,2.2抖音_销售经营数据综合表-抖音_销售经营综合表【刷新】,2026-07-09 13:46:29,141534.0,38.0,322,2026-07-09 13:46:25,1,35,0,1,0,0,0.0,dws,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 pay_time 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；退款/售后金额与数量范围；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值,被 1 个分析项目使用；有关联产出任务 1 个；任务下游数量 38；SQL 审计命中 322 次；资源关系引用 1 次；存在 owner/任务负责人证据；有分区 1 个；宽表字段数 124
P1,51.47,ud_5179579576634064_tmll,天猫-流量,包彦,李梦丽,5715401.0,333046379.0,26,PRIMARY_KEYS,`__id`,,1,4,1,nfawXIBFbh,天猫-流量来源分析-天猫-流量【刷新】,2026-07-09 11:02:23,5715401.0,12.0,196,2026-07-09 11:02:19,1,23,0,0,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；主键 `__id` 重复检查,有关联产出任务 1 个；任务下游数量 12；SQL 审计命中 196 次；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 5715401；有分区 1 个
P1,50.98,ud_3418004512502203_n11addlshsjq,1.1（按订单量）售后数据清洗,包彦,陶林强,22065503.0,1926706127.0,15,PRIMARY_KEYS,`__id`,,1,4,1,p9c7PWCNka,1.1（按订单量）售后数据清洗-1.1（按订单量）售后数据清洗【刷新】,2026-07-09 06:47:58,22065503.0,1.0,98,2026-07-09 06:47:57,1,1,0,1,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 pay_date 及时；主键 `__id` 重复检查；退款/售后金额与数量范围；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值,被 1 个分析项目使用；有关联产出任务 1 个；任务下游数量 1；SQL 审计命中 98 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 22065503；存储统计超过 1GB；有分区 1 个
P1,50.75,ud_3418004512502203_n12ztzhkbdj,1.2总体综合看板搭建,包彦,陶林强,1859118.0,156394570.0,30,PRIMARY_KEYS,`__id`,,1,4,1,CX8KzPZWql,1.1各平数据整合-1.2总体综合看板搭建【刷新】,2026-07-09 14:09:35,1859118.0,14.0,140,2026-07-09 14:09:33,1,12,0,0,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；主键 `__id` 重复检查；商品编码/名称关键字段空值,有关联产出任务 1 个；任务下游数量 14；SQL 审计命中 140 次；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 1859118；有分区 1 个
P1,49.98,ud_3418004512502203_qjspzlb,全局_商品资料表,包彦,陶林强,60516.0,8270176.0,16,PRIMARY_KEYS,`__id`,,1,4,1,N4uyZn2Brb,全局_商品资料表-全局_商品资料表【刷新】,2026-07-09 02:04:50,60516.0,16.0,98,2026-07-09 02:04:49,1,13,0,13,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；主键 `__id` 重复检查；商品编码/名称关键字段空值,被 13 个分析项目使用；有关联产出任务 1 个；任务下游数量 16；SQL 审计命中 98 次；资源关系引用 1 次；存在 owner/任务负责人证据；有分区 1 个
P1,49.45,ud_3418004512502203_ddyxsjyzhb,DWD_抖音_订单销售明细,包彦,陶林强,761271.0,589741007.0,156,PRIMARY_KEYS,`__id`,,1,4,1,lI6tx3AsC7,2.1 DWD_抖音数据清洗综合表-DWD_抖音销售经营综合表【刷新】,2026-07-09 13:44:02,761271.0,8.0,308,2026-07-09 13:44:02,1,11,0,3,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 pay_time 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；退款/售后金额与数量范围；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值,被 3 个分析项目使用；有关联产出任务 1 个；任务下游数量 8；SQL 审计命中 308 次；资源关系引用 1 次；存在 owner/任务负责人证据；有分区 1 个；宽表字段数 156
P1,48.75,ud_3418004512502203_n11gptsjzh,1.1各平台数据整合,包彦,陶林强,1859118.0,155630626.0,30,PRIMARY_KEYS,`__id`,,1,4,1,14sBxwWECW,1.1各平数据整合-1.1各平台数据整合【刷新】,2026-07-09 14:09:30,1859118.0,10.0,140,2026-07-09 14:09:29,1,12,0,0,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；主键 `__id` 重复检查；商品编码/名称关键字段空值,有关联产出任务 1 个；任务下游数量 10；SQL 审计命中 140 次；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 1859118；有分区 1 个
P1,48.52,ods_api_jstbz_product_sku_info_f,ODS_商品SKU信息表(聚水潭标准API),管理员,管理员,49492.0,23228945.0,60,PRIMARY_KEYS,`__id`,,1,16,1,4v6XI21730,ods_api_jstbz_product_sku_info_f【EtlDevelop任务】,2026-07-09 02:03:10,49492.0,24.0,7,2026-07-09 02:03:07,1,23,0,23,0,0,0.0,ods,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 modified 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性,被 23 个分析项目使用；有关联产出任务 1 个；任务下游数量 24；SQL 审计命中 7 次；资源关系引用 1 次；存在 owner/任务负责人证据；有分区 1 个；字段数 60
P1,48.0,ods_api_jstbz_archive_sale_order_info_du,ODS_销售订单归档信息表(聚水潭标准API),管理员,管理员,6565279.0,7104416312.0,82,PRIMARY_KEYS,"`dt`, `__id`",`dt`,726,1452,2,wc82tqkND8,ODS_销售订单归档信息表(聚水潭标准API)【连接器】,,0.0,2.0,0,,1,5,0,5,0,0,7.0,ods,共享数据,"表级行数非零；表级行数 7/30 天波动；最新分区 `dt` 非空/及时；主键 `dt`, `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性",被 5 个分析项目使用；有关联产出任务 2 个；任务下游数量 2；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 6565279；存储统计超过 1GB；分区数 726；字段数 82
P1,48.0,ods_api_jstbz_refund_info_du,ODS_退货退款信息表(聚水潭标准API),管理员,管理员,2695596.0,2414364711.0,53,PRIMARY_KEYS,"`dt`, `__id`",`dt`,1285,2570,2,woK8uNOpaP,ODS_退货退款信息表(聚水潭标准API)【连接器】,2026-07-09 02:27:32,16739.0,2.0,0,,1,5,0,5,0,0,0.0,ods,共享数据,"表级行数非零；表级行数 7/30 天波动；最新分区 `dt` 非空/及时；主键 `dt`, `__id` 重复检查；金额/费用字段非负与异常极值；退款/售后金额与数量范围；店铺标识关键字段空值；原始 API 记录落地完整性",被 5 个分析项目使用；有关联产出任务 2 个；任务下游数量 2；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 2695596；存储统计超过 1GB；分区数 1285；字段数 53
P1,48.0,ods_api_tb_trades_sold_increment_info_du,ODS_更新时间交易订单信息表(淘宝API),管理员,陶林强,31533812.0,33635865410.0,60,PRIMARY_KEYS,"`dt`, `__id`",`dt`,433,866,1,5lsT44Jl60,ODS_更新时间交易订单信息表(淘宝API)【连接器】,2026-07-09 01:24:24,150550.0,2.0,0,,1,1,0,1,0,0,0.0,ods,共享数据,"表级行数非零；表级行数 7/30 天波动；最新分区 `dt` 非空/及时；主键 `dt`, `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；店铺标识关键字段空值；原始 API 记录落地完整性",被 1 个分析项目使用；有关联产出任务 1 个；任务下游数量 2；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 31533812；存储统计超过 10GB；有分区 433 个；字段数 60
P1,47.98,ud_3418004512502203_yyglqtb,dwd_仓库大屏,包彦,陶林强,1250600.0,270408812.0,66,PRIMARY_KEYS,`__id`,,1,4,1,A0aQNtWCmo,仓库大屏-dwd_仓库大屏【刷新】,2026-07-09 09:42:25,1496319.0,6.0,98,2026-07-09 09:42:25,1,7,0,0,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 pay_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值,有关联产出任务 1 个；任务下游数量 6；SQL 审计命中 98 次；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 1250600；有分区 1 个；字段数 66
